graph,source,#vertices,#edges,density,bin_vertices,bin_density
str_0_clean,Harwell-Boeing_cleaned,363,2446,0.03723,Q2,Q2
hor_131_clean,Harwell-Boeing_cleaned,434,2138,0.02275,Q2,Q2
dwt_492_clean,Harwell-Boeing_cleaned,492,1332,0.01103,Q2,Q2
dwt_310_clean,Harwell-Boeing_cleaned,310,1069,0.02232,Q2,Q2
fs_541_3_clean,Harwell-Boeing_cleaned,541,2466,0.01688,Q2,Q2
dwt_346_clean,Harwell-Boeing_cleaned,346,1440,0.02413,Q2,Q2
str_400_clean,Harwell-Boeing_cleaned,363,3124,0.04755,Q2,Q3
erdos_n280_p0.2,random,280,7750,0.19841,Q2,Q3
str_600_clean,Harwell-Boeing_cleaned,363,3244,0.04937,Q2,Q3
erdos_n437_p0.2,random,437,19242,0.20198,Q2,Q3
bcsstk06_clean,Harwell-Boeing_cleaned,420,3720,0.04228,Q2,Q3
c-fat500-2_clean,NR_DIMACS_cleaned,500,9139,0.07326,Q2,Q3
erdos_n322_p0.2,random,322,10222,0.19779,Q2,Q3
erdos_n332_p0.4,random,332,22272,0.40534,Q2,Q3
c-fat500-5_clean,NR_DIMACS_cleaned,500,23191,0.1859,Q2,Q3
erdos_n439_p0.6,random,439,57636,0.59949,Q2,Q4
erdos_n290_p0.8,random,290,33581,0.80136,Q2,Q4
erdos_n300_p0.6,random,300,26926,0.60036,Q2,Q4
erdos_n422_p0.6,random,422,53503,0.6023,Q2,Q4
erdos_n397_p0.8,random,397,62957,0.80092,Q2,Q4
erdos_n486_p0.8,random,486,94395,0.80094,Q2,Q4
brock400-3_clean,NR_DIMACS_cleaned,400,59681,0.74788,Q2,Q4
p-hat300-3_clean,NR_DIMACS_cleaned,300,33390,0.74448,Q2,Q4
gen400-p0-9-75_clean,NR_DIMACS_cleaned,400,71820,0.9,Q2,Q4
brock400-2_clean,NR_DIMACS_cleaned,400,59786,0.7492,Q2,Q4
gen400-p0-9-55_clean,NR_DIMACS_cleaned,400,71820,0.9,Q2,Q4
erdos_n314_p0.6,random,314,29628,0.60292,Q2,Q4
erdos_n352_p0.8,random,352,49336,0.79863,Q2,Q4
fs_680_1_clean,Harwell-Boeing_cleaned,680,1464,0.00634,Q3,Q1
shl_400_clean,Harwell-Boeing_cleaned,663,1709,0.00779,Q3,Q1
dwt_918_clean,Harwell-Boeing_cleaned,918,3233,0.00768,Q3,Q1
saylr3_clean,Harwell-Boeing_cleaned,1000,1375,0.00275,Q3,Q1
662_bus_clean,Harwell-Boeing_cleaned,662,906,0.00414,Q3,Q1
gr_30_30_clean,Harwell-Boeing_cleaned,900,3422,0.00846,Q3,Q1
nos2_clean,Harwell-Boeing_cleaned,957,1590,0.00348,Q3,Q1
sherman1_clean,Harwell-Boeing_cleaned,1000,1375,0.00275,Q3,Q1
fs_680_3_clean,Harwell-Boeing_cleaned,680,1464,0.00634,Q3,Q1
bp_1000_clean,Harwell-Boeing_cleaned,822,4635,0.01374,Q3,Q2
lshp_577_clean,Harwell-Boeing_cleaned,577,1656,0.00997,Q3,Q2
fs_760_2_clean,Harwell-Boeing_cleaned,760,3518,0.0122,Q3,Q2
bp_1200_clean,Harwell-Boeing_cleaned,822,4698,0.01392,Q3,Q2
can_634_clean,Harwell-Boeing_cleaned,634,3297,0.01643,Q3,Q2
bp_400_clean,Harwell-Boeing_cleaned,822,4015,0.0119,Q3,Q2
dwt_592_clean,Harwell-Boeing_cleaned,592,2256,0.0129,Q3,Q2
erdos_n957_p0.4,random,957,182828,0.39967,Q3,Q3
erdos_n713_p0.2,random,713,50739,0.1999,Q3,Q3
erdos_n883_p0.2,random,883,77955,0.20019,Q3,Q3
erdos_n759_p0.2,random,759,57551,0.20007,Q3,Q3
erdos_n590_p0.2,random,590,34812,0.20035,Q3,Q3
erdos_n611_p0.2,random,611,37225,0.19975,Q3,Q3
erdos_n803_p0.4,random,803,128859,0.40018,Q3,Q3
erdos_n844_p0.4,random,844,142842,0.40153,Q3,Q3
erdos_n656_p0.4,random,656,85919,0.39992,Q3,Q3
lock_700_clean,Harwell-Boeing_cleaned,700,10742,0.04391,Q3,Q3
erdos_n911_p0.8,random,911,331408,0.79953,Q3,Q4
erdos_n624_p0.8,random,624,155432,0.79965,Q3,Q4
erdos_n843_p0.8,random,843,283664,0.79927,Q3,Q4
erdos_n648_p0.6,random,648,125644,0.59937,Q3,Q4
p-hat700-3_clean,NR_DIMACS_cleaned,700,183010,0.74805,Q3,Q4
san1000_clean,NR_DIMACS_cleaned,1000,250500,0.5015,Q3,Q4
erdos_n975_p0.8,random,975,379601,0.79945,Q3,Q4
erdos_n845_p0.8,random,845,285213,0.79983,Q3,Q4
erdos_n573_p0.6,random,573,98484,0.60096,Q3,Q4
C1000-9_clean,NR_DIMACS_cleaned,1000,450079,0.90106,Q3,Q4
bcspwr09_clean,Harwell-Boeing_cleaned,1723,2394,0.00161,Q4,Q1
saylr4_clean,Harwell-Boeing_cleaned,3564,9376,0.00148,Q4,Q1
bcsstm08_clean,Harwell-Boeing_cleaned,1074,0,0.0,Q4,Q1
1138_bus_clean,Harwell-Boeing_cleaned,1138,1458,0.00225,Q4,Q1
blckhole_clean,Harwell-Boeing_cleaned,2132,6370,0.0028,Q4,Q1
zenios_clean,Harwell-Boeing_cleaned,2873,12159,0.00295,Q4,Q1
bcsstk23_clean,Harwell-Boeing_cleaned,3134,21022,0.00428,Q4,Q1
dwt_2680_clean,Harwell-Boeing_cleaned,2680,11173,0.00311,Q4,Q1
bcsstk26_clean,Harwell-Boeing_cleaned,1922,14207,0.0077,Q4,Q1
mahindas_clean,Harwell-Boeing_cleaned,1258,7513,0.0095,Q4,Q1
sherman4_clean,Harwell-Boeing_cleaned,1104,1341,0.0022,Q4,Q1
dwt_1005_clean,Harwell-Boeing_cleaned,1005,3808,0.00755,Q4,Q1
bcsstk21_clean,Harwell-Boeing_cleaned,3600,11500,0.00178,Q4,Q1
jagmesh9_clean,Harwell-Boeing_cleaned,1349,3876,0.00426,Q4,Q1
bcspwr10_clean,Harwell-Boeing_cleaned,5300,8271,0.00059,Q4,Q1
bcsstm13_clean,Harwell-Boeing_cleaned,2003,9970,0.00497,Q4,Q1
nnc1374_clean,Harwell-Boeing_cleaned,1374,4576,0.00485,Q4,Q1
lshp1882_clean,Harwell-Boeing_cleaned,1882,5511,0.00311,Q4,Q1
dwt_1242_clean,Harwell-Boeing_cleaned,1242,4592,0.00596,Q4,Q1
jagmesh3_clean,Harwell-Boeing_cleaned,1089,3136,0.00529,Q4,Q1
west1505_clean,Harwell-Boeing_cleaned,1505,5437,0.0048,Q4,Q1
bcsstk32_clean,Harwell-Boeing_cleaned,44609,985046,0.00099,Q4,Q1
bcsstk08_clean,Harwell-Boeing_cleaned,1074,5943,0.01031,Q4,Q2
eris1176_clean,Harwell-Boeing_cleaned,1176,8688,0.01257,Q4,Q2
cegb2802_clean,Harwell-Boeing_cleaned,2802,137334,0.035,Q4,Q2
bcsstk09_clean,Harwell-Boeing_cleaned,1083,8677,0.01481,Q4,Q2
bcsstk24_clean,Harwell-Boeing_cleaned,3562,78174,0.01233,Q4,Q2
bcsstk13_clean,Harwell-Boeing_cleaned,2003,40940,0.02042,Q4,Q2
bcsstm10_clean,Harwell-Boeing_cleaned,1086,10503,0.01783,Q4,Q2
psmigr_1_clean,Harwell-Boeing_cleaned,3140,410781,0.08335,Q4,Q3
p-hat1500-1_clean,NR_DIMACS_cleaned,1500,284923,0.25343,Q4,Q3
p-hat1500-2_clean,NR_DIMACS_cleaned,1500,568960,0.50608,Q4,Q4
C2000-9_clean,NR_DIMACS_cleaned,2000,1799532,0.90022,Q4,Q4
hamming10-4_clean,NR_DIMACS_cleaned,1024,434176,0.82893,Q4,Q4
