file,origin,n,m,density,max_degree
san400-0-7-1_clean.mtx,NR_DIMACS,400,55860,0.7,301
san400-0-7-2_clean.mtx,NR_DIMACS,400,55860,0.7,304
san400-0-7-3_clean.mtx,NR_DIMACS,400,55860,0.7,307
san400-0-9-1_clean.mtx,NR_DIMACS,400,71820,0.9,374
sanr400-0-5_clean.mtx,NR_DIMACS,400,39984,0.501053,233
sanr400-0-7_clean.mtx,NR_DIMACS,400,55869,0.700113,310
johnson32-2-4_clean.mtx,NR_DIMACS,496,107880,0.878788,435
C500-9_clean.mtx,NR_DIMACS,500,112332,0.900457,468
c-fat500-10_clean.mtx,NR_DIMACS,500,46627,0.373764,188
c-fat500-1_clean.mtx,NR_DIMACS,500,4459,0.035743,20
c-fat500-2_clean.mtx,NR_DIMACS,500,9139,0.073259,38
c-fat500-5_clean.mtx,NR_DIMACS,500,23191,0.1859,95
p-hat500-2_clean.mtx,NR_DIMACS,500,62946,0.504577,389
p-hat500-3_clean.mtx,NR_DIMACS,500,93800,0.751904,452
p-hat700-1_clean.mtx,NR_DIMACS,700,60999,0.249332,286
p-hat700-2_clean.mtx,NR_DIMACS,700,121728,0.49756,539
p-hat700-3_clean.mtx,NR_DIMACS,700,183010,0.748048,627
keller5_clean.mtx,NR_DIMACS,776,225990,0.751546,638
brock800-1_clean.mtx,NR_DIMACS,800,207505,0.649265,560
brock800-2_clean.mtx,NR_DIMACS,800,208166,0.651333,566
brock800-3_clean.mtx,NR_DIMACS,800,207333,0.648727,558
brock800-4_clean.mtx,NR_DIMACS,800,207643,0.649696,565
C1000-9_clean.mtx,NR_DIMACS,1000,450079,0.901059,925
p-hat1000-1_clean.mtx,NR_DIMACS,1000,122253,0.244751,408
p-hat1000-2_clean.mtx,NR_DIMACS,1000,244799,0.490088,766
san1000_clean.mtx,NR_DIMACS,1000,250500,0.501502,550
hamming10-2_clean.mtx,NR_DIMACS,1024,518656,0.990225,1013
hamming10-4_clean.mtx,NR_DIMACS,1024,434176,0.828935,848
MANN-a45_clean.mtx,NR_DIMACS,1035,533115,0.9963,1031
p-hat1500-1_clean.mtx,NR_DIMACS,1500,284923,0.253434,614
p-hat1500-2_clean.mtx,NR_DIMACS,1500,568960,0.50608,1153
p-hat1500-3_clean.mtx,NR_DIMACS,1500,847244,0.753608,1330
C2000-5_clean.mtx,NR_DIMACS,2000,999836,0.500168,1074
C2000-9_clean.mtx,NR_DIMACS,2000,1799532,0.900216,1848
keller6_clean.mtx,NR_DIMACS,3361,4619898,0.818191,2952
C4000-5_clean.mtx,NR_DIMACS,4000,4000268,0.500159,2123
CELAR6-SUB1.mtx,SUBCELAR6,28,157,0.415344,0
CELAR6-SUB0.mtx,SUBCELAR6,32,111,0.22379,0
CELAR6-SUB2.mtx,SUBCELAR6,32,184,0.370968,0
CELAR6-SUB3.mtx,SUBCELAR6,36,219,0.347619,0
CELAR6-SUB4.mtx,SUBCELAR6,44,249,0.263214,0
